id,lat,lon,node,type,tag,element
80646701,48.46127297,7.875138238,80646701,node,transformers,transformers
38617406,48.45786607,7.872546064,38617406,node,transformers,transformers
49701853,48.46350961,7.877439632,49701853,node,transformers,transformers
70538024,48.45716162,7.877670627,70538024,node,transformers,transformers
98307611,48.45470289,7.878020895,98307611,node,transformers,transformers
34005150,48.45619605,7.882370815,34005150,node,transformers,transformers
25027649,48.45931791,7.880600399,25027649,node,transformers,transformers
62168279,48.46212813,7.880200415,62168279,node,transformers,transformers
25637983,48.46308767,7.882547339,25637983,node,transformers,transformers
21378043,48.46132959,7.883377464,21378043,node,transformers,transformers
40562107,48.45852185,7.885400706,40562107,node,transformers,transformers
66581201,48.45609786,7.888334766,66581201,node,transformers,transformers
53362351,48.45260192,7.888302466,53362351,node,transformers,transformers
7813102,48.45365955,7.885020344,7813102,node,transformers,transformers
83916835,48.45391652,7.89574094,83916835,node,transformers,transformers
